iter	Logloss
0	0.6911388545
1	0.6895958597
2	0.6884759563
3	0.687341339
4	0.685961655
5	0.6846735854
6	0.6834068541
7	0.6818596899
8	0.6806543946
9	0.6795072898
10	0.6778731253
11	0.6766176539
12	0.6754160022
13	0.6738276158
14	0.6731473955
15	0.6717191715
16	0.6707785817
17	0.6695314151
18	0.6685624206
19	0.6673181327
20	0.666214192
21	0.6650723752
22	0.6641176956
23	0.662867166
24	0.6620640267
25	0.6610793236
26	0.6599716213
27	0.6589518919
28	0.65804134
29	0.657191694
30	0.6557152326
31	0.6549690301
32	0.6542074345
33	0.6531927692
34	0.6523320281
35	0.6517559235
36	0.65102847
37	0.6502757811
38	0.6494963652
39	0.6488431371
40	0.6479307484
41	0.6470757044
42	0.6463071011
43	0.6453119525
44	0.6443190309
45	0.642988753
46	0.6423577866
47	0.6414724887
48	0.6410760178
49	0.640225258
50	0.6396795536
51	0.6391072529
52	0.6383266065
53	0.6376790239
54	0.6369728181
55	0.6362301635
56	0.6356313396
57	0.635203294
58	0.6339828613
59	0.6331029376
60	0.6323181072
61	0.631278384
62	0.6305551659
63	0.6298813258
64	0.6290816901
65	0.628466356
66	0.6279444315
67	0.6274565251
68	0.626662651
69	0.6256834781
70	0.6246825804
71	0.624468903
72	0.6237402051
73	0.6231725833
74	0.6226799528
75	0.6221626758
76	0.6213989711
77	0.6208999591
78	0.6203760007
79	0.6195403291
80	0.6191389677
81	0.6186449233
82	0.6180691896
83	0.6175631915
84	0.6170762196
85	0.6163768984
86	0.6155098097
87	0.6148364713
88	0.61411056
89	0.6136694183
90	0.6133883519
91	0.6126379733
92	0.6120561271
93	0.6115112865
94	0.6107821822
95	0.6104068354
96	0.609844656
97	0.6092036674
98	0.6083460177
99	0.6078630053
100	0.6072745333
101	0.6068299573
102	0.6062735692
103	0.605870136
104	0.6055179663
105	0.6050661623
106	0.6046398543
107	0.6042571726
108	0.6035906086
109	0.6030386063
110	0.6026918816
111	0.6022732466
112	0.6019064807
113	0.6016578942
114	0.6010990381
115	0.6007147636
116	0.6003154315
117	0.5995188208
118	0.5988174699
119	0.5984155551
120	0.5978870925
121	0.5970927731
122	0.5966112629
123	0.596280072
124	0.5957800498
125	0.5951451632
126	0.5944627322
127	0.5939898493
128	0.5936208135
129	0.5932886774
130	0.5928279733
131	0.5923215555
132	0.5918863166
133	0.5915402671
134	0.5912487872
135	0.5910300083
136	0.5904499802
137	0.5901206765
138	0.589765385
139	0.5892344119
140	0.5887990429
141	0.5884421523
142	0.5881024014
143	0.5877784482
144	0.5875139707
145	0.5870469478
146	0.5862166784
147	0.5859489342
148	0.5854426054
149	0.5850851628
150	0.584659191
151	0.5844575888
152	0.5839239789
153	0.5835673855
154	0.5829995561
155	0.5827667488
156	0.5822732075
157	0.5817328538
158	0.5814395646
159	0.5812218528
160	0.5806154336
161	0.580250608
162	0.5799806223
163	0.5795641114
164	0.5794096691
165	0.5792291198
166	0.5786097516
167	0.5781802778
168	0.5778270862
169	0.5774059062
170	0.5772650948
171	0.5769373421
172	0.5767340211
173	0.5761662372
174	0.575706632
175	0.5754793361
176	0.5751230698
177	0.5747020811
178	0.5745848586
179	0.5740228958
180	0.573613001
181	0.5733094679
182	0.5729880175
183	0.5727699315
184	0.5723165082
185	0.5720368096
186	0.5716170858
187	0.5711562267
188	0.5707186015
189	0.5703529383
190	0.5701149278
191	0.5697641753
192	0.5694004023
193	0.568993874
194	0.5686409302
195	0.5681339946
196	0.5678447757
197	0.5675789791
198	0.5673737915
199	0.5670529701
200	0.5666175911
201	0.5659929463
202	0.565737055
203	0.5655213644
204	0.5650220053
205	0.5644836044
206	0.5642236333
