iter	Passed	Remaining
0	78	78124
1	145	72727
2	206	68673
3	275	68501
4	336	67035
5	398	66080
6	461	65433
7	522	64728
8	580	63952
9	643	63733
10	698	62841
11	755	62162
12	816	61992
13	876	61730
14	938	61650
15	999	61480
16	1047	60594
17	1113	60744
18	1171	60481
19	1225	60042
20	1285	59942
21	1346	59852
22	1405	59685
23	1464	59571
24	1518	59202
25	1577	59090
26	1634	58913
27	1691	58719
28	1749	58567
29	1806	58399
30	1866	58341
31	1916	57985
32	1971	57761
33	2025	57543
34	2080	57358
35	2140	57304
36	2199	57243
37	2253	57053
38	2313	57014
39	2375	57019
40	2438	57040
41	2502	57082
42	2563	57041
43	2630	57154
44	2691	57109
45	2749	57030
46	2815	57097
47	2874	57015
48	2932	56910
49	2995	56908
50	3057	56884
51	3117	56828
52	3173	56712
53	3237	56724
54	3291	56558
55	3350	56485
56	3407	56367
57	3461	56227
58	3518	56123
59	3578	56062
60	3639	56016
61	3695	55903
62	3753	55819
63	3806	55665
64	3864	55589
65	3915	55409
66	3974	55345
67	4033	55288
68	4089	55179
69	4150	55143
70	4198	54940
71	4258	54893
72	4319	54854
73	4385	54875
74	4449	54872
75	4509	54830
76	4563	54707
77	4623	54656
78	4671	54459
79	4734	54451
80	4791	54359
81	4851	54308
82	4908	54228
83	4964	54141
84	5025	54097
85	5083	54022
86	5139	53934
87	5195	53839
88	5251	53758
89	5310	53692
90	5376	53710
91	5452	53814
92	5505	53692
93	5565	53643
94	5632	53660
95	5695	53636
96	5759	53619
97	5821	53586
98	5885	53564
99	5946	53521
100	6003	53438
101	6054	53305
102	6115	53256
103	6172	53176
104	6238	53179
105	6294	53088
106	6357	53057
107	6430	53111
108	6479	52969
109	6537	52895
110	6599	52858
111	6671	52898
112	6736	52881
113	6796	52825
114	6856	52764
115	6917	52713
116	6990	52755
117	7051	52704
118	7112	52658
119	7174	52611
120	7230	52529
121	7290	52464
122	7351	52418
123	7416	52390
124	7475	52330
125	7536	52275
126	7590	52173
127	7650	52119
128	7707	52041
129	7760	51937
130	7815	51845
131	7877	51802
132	7940	51759
133	8000	51701
134	8052	51593
135	8105	51491
136	8163	51422
137	8211	51289
138	8270	51226
139	8327	51153
140	8386	51094
141	8446	51037
142	8510	51002
143	8565	50917
144	8626	50868
145	8690	50830
146	8744	50743
147	8804	50686
148	8859	50600
149	8913	50509
150	8974	50460
151	9035	50409
152	9111	50439
153	9169	50371
154	9226	50300
155	9275	50181
156	9337	50136
157	9393	50060
158	9464	50061
159	9524	50004
160	9582	49933
161	9647	49905
162	9711	49870
163	9766	49787
164	9826	49729
165	9886	49669
166	9941	49587
167	9998	49516
168	10059	49461
169	10120	49410
170	10180	49352
171	10242	49306
172	10306	49270
173	10366	49209
174	10422	49134
175	10492	49121
176	10547	49042
177	10599	48950
178	10659	48890
179	10717	48824
180	10775	48757
181	10839	48718
182	10896	48648
183	10955	48584
184	11016	48530
185	11069	48444
186	11129	48385
187	11197	48362
188	11257	48307
189	11319	48258
190	11379	48197
191	11430	48101
192	11495	48068
193	11557	48015
194	11613	47944
195	11670	47870
196	11733	47828
197	11789	47753
198	11850	47698
199	11909	47636
200	11964	47562
201	12028	47518
202	12087	47456
203	12146	47394
204	12208	47346
205	12267	47283
206	12328	47230
207	12381	47146
208	12444	47098
209	12502	47034
210	12557	46957
211	12612	46882
212	12670	46815
213	12725	46739
214	12783	46674
215	12848	46635
216	12907	46573
217	12964	46506
218	13018	46426
219	13077	46365
220	13141	46322
221	13205	46277
222	13256	46188
223	13313	46121
224	13363	46031
225	13420	45962
226	13489	45935
227	13545	45863
228	13599	45786
229	13659	45729
230	13719	45671
231	13776	45604
232	13827	45518
233	13884	45450
234	13943	45390
235	14006	45341
236	14061	45269
237	14116	45195
238	14176	45140
239	14232	45070
240	14293	45016
241	14351	44952
242	14415	44907
243	14489	44892
244	14557	44861
245	14617	44802
246	14684	44766
247	14741	44699
248	14801	44643
249	14855	44567
250	14915	44509
251	14973	44443
252	15039	44404
253	15108	44372
254	15174	44333
255	15232	44268
256	15287	44196
257	15347	44138
258	15395	44046
259	15463	44012
260	15521	43947
261	15583	43895
262	15647	43849
263	15713	43805
264	15764	43722
265	15824	43665
266	15887	43614
267	15948	43559
268	16016	43525
269	16076	43465
270	16133	43398
271	16193	43342
272	16248	43269
273	16308	43211
274	16361	43135
275	16419	43072
276	16544	43183
277	16615	43152
278	16678	43101
279	16736	43036
280	16807	43006
281	16866	42943
282	16924	42879
283	16979	42808
284	17037	42742
285	17093	42674
286	17153	42614
287	17215	42559
288	17272	42494
289	17342	42459
290	17414	42428
291	17500	42433
292	17561	42375
293	17617	42305
294	17670	42229
295	17732	42175
296	17792	42116
297	17847	42043
298	17904	41977
299	17965	41919
300	18018	41843
301	18072	41771
302	18130	41705
303	18196	41659
304	18249	41584
305	18306	41518
306	18369	41466
307	18429	41406
308	18487	41343
309	18549	41286
310	18606	41221
311	18658	41144
312	18719	41086
313	18773	41015
314	18837	40963
315	18892	40893
316	18954	40838
317	19016	40782
318	19076	40725
319	19134	40660
320	19196	40605
321	19257	40548
322	19312	40479
323	19372	40418
324	19434	40363
325	19495	40306
326	19558	40253
327	19620	40198
328	19674	40126
329	19732	40062
330	19783	39985
331	19839	39918
332	19891	39842
333	19950	39782
334	20012	39725
335	20073	39669
336	20133	39609
337	20195	39554
338	20250	39486
339	20308	39422
340	20367	39360
341	20428	39303
342	20491	39251
343	20550	39188
344	20601	39113
345	20655	39041
346	20715	38982
347	20774	38921
348	20830	38856
349	20888	38792
350	20939	38716
351	20995	38650
352	21053	38588
353	21110	38522
354	21165	38456
355	21230	38405
356	21292	38349
357	21352	38290
358	21412	38231
359	21469	38168
360	21522	38097
361	21580	38034
362	21642	37978
363	21701	37918
364	21761	37858
365	21825	37807
366	21882	37742
367	21936	37674
368	22001	37623
369	22059	37561
370	22124	37510
371	22180	37443
372	22243	37391
373	22305	37335
374	22361	37268
375	22420	37208
376	22476	37142
377	22545	37099
378	22609	37045
379	22662	36974
380	22724	36920
381	22785	36862
382	22846	36804
383	22903	36741
384	22957	36671
385	23019	36616
386	23083	36564
387	23143	36504
388	23210	36456
389	23260	36381
390	23324	36328
391	23388	36275
392	23441	36206
393	23505	36153
394	23568	36098
395	23624	36033
396	23682	35970
397	23736	35902
398	23806	35858
399	23863	35795
400	23923	35736
401	23988	35684
402	24056	35636
403	24118	35580
404	24184	35531
405	24248	35476
406	24308	35417
407	24365	35353
408	24425	35295
409	24487	35237
410	24552	35185
411	24613	35127
412	24675	35072
413	24740	35019
414	24802	34962
415	24870	34914
416	24932	34856
417	24991	34797
418	25058	34746
419	25123	34694
420	25188	34642
421	25273	34616
422	25337	34562
423	25402	34509
424	25480	34473
425	25548	34424
426	25609	34365
